Brand,Total,Releases,#1 Release,Lifetime Gross
Marvel Comics,15806336901,69,Avengers: Endgame,858373000
Legendary Pictures,7018798067,56,Jurassic World,652270625
Lucasfilm,6325022918,39,Star Wars: Episode VII - The Force Awakens,936662225
Pixar,6078217662,28,Incredibles 2,608581744
DC Comics,5815645953,46,The Dark Knight,533345358
DreamWorks Animation,5792217737,41,Shrek 2,441226247
Vertigo Entertainment,3154664176,41,It,327481748
Bad Robot,3077078931,15,Star Wars: Episode VII - The Force Awakens,936662225
Walt Disney Animation Studios,2774912904,15,Frozen II,477373578
Illumination Entertainment,2759505881,13,The Secret Life of Pets,368384330
Blumhouse Productions,2451844676,49,Get Out,176040665
Hasbro,2079485824,17,Transformers: Revenge of the Fallen,402111870
Nickelodeon,1930746182,26,Teenage Mutant Ninja Turtles,191204754
Sony Pictures Animation,1918763863,21,Spider-Man: Into the Spider-Verse,190241310
Walden Media,1842852183,38,The Chronicles of Narnia: The Lion the Witch and the Wardrobe,291710957
Blue Sky,1740428763,13,Ice Age 3: Dawn of the Dinosaurs,196573705
Stephen King,1729648950,49,It,327481748
MTV,1520456359,36,The Longest Yard,158119460
Platinum Dunes,1422911399,19,Teenage Mutant Ninja Turtles,191204754
Saturday Night Live - Alumni Debuts,1023596031,30,Bridesmaids,169106725
Dark Horse Comics,947671338,16,300,210614939
Tim Burton-Johnny Depp,889955830,8,Alice in Wonderland,334191110
Warner Animation Group,786497181,8,The Lego Movie,257760692
Tyler Perry,765635362,16,Madea Goes to Jail,90508336
CBS Films,652824187,29,Scary Stories to Tell in the Dark,68947075
John Grisham,645661825,10,The Firm,158348367
Robert Ludlum,645459186,6,The Bourne Ultimatum,227471070
MonsterVerse,580145113,4,Godzilla,200676069
Hanna-Barbera,578586146,10,Scooby-Doo,153294164
Nicholas Sparks,574728259,11,The Notebook,81001787
Philip K. Dick,495237720,14,Minority Report,132072926
Dark Castle,454625110,16,Unknown,63686397
National Lampoon,436669213,21,National Lampoon's Animal House,120091123
Disney Channel,359952780,8,High School Musical 3: Senior Year,90559416
Roald Dahl,356238494,7,Charlie and the Chocolate Factory,206459076
Saturday Night Live,346533876,11,Wayne's World,121697323
DisneyToon Studios,337576791,8,Planes,90288712
Aardman,333777829,16,Chicken Run,106834564
Laika,300158323,6,Coraline,75286229
Alan Moore,276088604,4,Watchmen,107509799
Amazon Studios,204376048,43,Manchester by the Sea,47695371
Clive Barker,171686009,10,Candyman,61186570
Disneynature,151620585,8,Earth,32011576
Broken Lizard,73338237,5,Super Troopers 2,30617396
Studio Ghibli,70666453,26,The Secret World of Arrietty,19202743
