Rank,Movie,Lifetime Gross,Year
1,Star Wars: Episode VII - The Force Awakens,936662225,2015
2,Avengers: Endgame,858373000,2019
3,Spider-Man: No Way Home,772170405,2021
4,Avatar,760507625,2009
5,Black Panther,700426566,2018
6,Avengers: Infinity War,678815482,2018
7,Titanic,659363944,1997
8,Jurassic World,652385625,2015
9,The Avengers,623357910,2012
10,Star Wars: Episode VIII - The Last Jedi,620181382,2017
11,Incredibles 2,608581744,2018
12,The Lion King,543638043,2019
13,The Dark Knight,534858444,2008
14,Rogue One: A Star Wars Story,532177324,2016
15,Star Wars: Episode IX - The Rise of Skywalker,515202542,2019
16,Beauty and the Beast,504481165,2017
17,Finding Dory,486295561,2016
18,Frozen II,477373578,2019
19,Star Wars: Episode I - The Phantom Menace,474544677,1999
20,Star Wars: Episode IV - A New Hope,460998507,1977
21,Avengers: Age of Ultron,459005868,2015
22,The Dark Knight Rises,448139099,2012
23,Shrek 2,441226247,2004
24,E.T. the Extra-Terrestrial,435110554,1982
25,Toy Story 4,434038008,2019
26,Captain Marvel,426829839,2019
27,The Hunger Games: Catching Fire,424668047,2013
28,Pirates of the Caribbean: Dead Man's Chest,423315812,2006
29,The Lion King,422783777,1994
30,Jurassic World: Fallen Kingdom,417719760,2018
31,Toy Story 3,415004880,2010
32,Wonder Woman,412815408,2017
33,Iron Man 3,409013994,2013
34,Captain America: Civil War,408084349,2016
35,The Hunger Games,408010692,2012
36,Spider-Man,407022860,2002
37,Jumanji: Welcome to the Jungle,404540171,2017
38,Jurassic Park,404214720,1993
39,Transformers: Revenge of the Fallen,402111870,2009
40,Frozen,400953009,2013
41,Spider-Man: Far from Home,390532085,2019
42,Guardians of the Galaxy Vol. 2,389813101,2017
43,Harry Potter and the Deathly Hallows: Part 2,381409310,2011
44,Finding Nemo,380843261,2003
45,Star Wars: Episode III - Revenge of the Sith,380270577,2005
46,The Lord of the Rings: The Return of the King,377845905,2003
47,Spider-Man 2,373585825,2004
48,The Passion of the Christ,370782930,2004
49,The Secret Life of Pets,368384330,2016
50,Despicable Me 2,368065385,2013
51,The Jungle Book,364001123,2016
52,Deadpool,363070709,2016
53,Inside Out,356921711,2015
54,Aladdin,355559216,2019
55,Furious 7,353007020,2015
56,Transformers: Dark of the Moon,352390543,2011
57,American Sniper,350126372,2014
58,The Lord of the Rings: The Two Towers,342551365,2002
59,Zootopia,341268248,2016
60,The Hunger Games: Mockingjay - Part 1,337135885,2014
61,Spider-Man 3,336530303,2007
62,Minions,336045770,2015
63,Joker,335451311,2019
64,Aquaman,335061807,2018
65,Spider-Man: Homecoming,334201140,2017
66,Alice in Wonderland,334191110,2010
67,Guardians of the Galaxy,333718600,2014
68,Forrest Gump,330455270,1994
69,Batman v Superman: Dawn of Justice,330360194,2016
70,It,328828874,2017
71,Suicide Squad,325100054,2016
72,Deadpool 2,324591735,2018
73,Shrek the Third,322719944,2007
74,Jumanji: The Next Level,320314960,2019
75,Transformers,319246193,2007
76,Iron Man,319034126,2008
77,Harry Potter and the Sorcerer's Stone,318886962,2001
78,Indiana Jones and the Kingdom of the Crystal Skull,317101119,2008
79,The Lord of the Rings: The Fellowship of the Ring,316115420,2001
80,Thor: Ragnarok,315058289,2017
81,Iron Man 2,312433331,2010
82,Star Wars: Episode II - Attack of the Clones,310676740,2002
83,Pirates of the Caribbean: At World's End,309420425,2007
84,Star Wars: Episode VI - Return of the Jedi,309306177,1983
85,Independence Day,306169268,1996
86,Pirates of the Caribbean: The Curse of the Black Pearl,305413918,2003
87,Skyfall,304360277,2012
88,The Hobbit: An Unexpected Journey,303003568,2012
89,Harry Potter and the Half-Blood Prince,302305431,2009
