Genre,Total,Titles,#1 Title,Lifetime Gross
Heroine,8513688318,82,Star Wars: Episode VII - The Force Awakens,936662225
Adventure,68146286235,877,Star Wars: Episode VII - The Force Awakens,936662225
Supernatural,60041261115,750,Star Wars: Episode VII - The Force Awakens,936662225
IMAX,56249895595,372,Star Wars: Episode VII - The Force Awakens,936662225
3D,50745498053,394,Star Wars: Episode VII - The Force Awakens,936662225
Comic Book Adaptation,25665243979,181,Avengers: Endgame,858373000
Invasion,7243530273,58,Avengers: Endgame,858373000
Superhero,24227315180,146,Avengers: Endgame,858373000
Invasion,7243530273,58,Avengers: Endgame,858373000
Adaptation,72848144854,963,Avengers: Endgame,858373000
Time Travel,4394771678,63,Avengers: Endgame,858373000
Alien Invasion,7243530273,58,Avengers: Endgame,858373000
Conflict,9329336707,112,Avengers: Endgame,858373000
Afflicted Character,1176713279,27,Avatar,760507625
Affliction,2841556200,56,Avatar,760507625
Physically Afflicted Character,1176713279,27,Avatar,760507625
Environmentalist,2281846825,50,Avatar,760507625
Origin Story,8640390546,47,Black Panther,700426566
Disaster,4639641972,54,Titanic,659363944
Animal,15273537631,238,Jurassic World,652385625
Dinosaur,2517808714,15,Jurassic World,652385625
Creature Feature,5345408086,87,Jurassic World,652385625
CGI Animation,23828773930,190,Incredibles 2,608581744
Animation,32031484157,709,Incredibles 2,608581744
Remake,15265142027,296,The Lion King,543638043
Anthropomorphic Animal,3825074151,39,The Lion King,543638043
Anthropomorphic Character,3825074151,39,The Lion King,543638043
Prequel,6769853464,46,Rogue One: A Star Wars Story,532177324
Cinderella Complex,2112616480,20,Beauty and the Beast,504481165
Underwater,1929621663,18,Finding Dory,486295561
Space Opera,1989151759,10,Star Wars: Episode I - The Phantom Menace,474544677
Robot,5190862793,63,Avengers: Age of Ultron,459005868
Post-Apocalypse,4268221278,57,The Hunger Games: Catching Fire,424668047
Future,8020235386,135,The Hunger Games: Catching Fire,424668047
Young Adult Novel Adaptation,7989387629,79,The Hunger Games: Catching Fire,424668047
Book Adaptation,18128512073,228,The Hunger Games: Catching Fire,424668047
Quest,8065707248,100,Pirates of the Caribbean: Dead Man's Chest,423315812
